Name,Brand,Price,Rating,Processor_brand,Processor_name,Processor_variant,Processor_gen,Core_per_processor,Total_processor,Execution_units,Low_Power_Cores,Energy_Efficient_Units,Threads,RAM_GB,RAM_type,Storage_capacity_GB,Storage_type,Graphics_name,Graphics_brand,Graphics_GB,Graphics_integreted,Display_size_inches,Horizontal_pixel,Vertical_pixel,ppi,Touch_screen,Operating_system,b_G3Dmark,b_G2Dmark,b_price,b_gpuValue,b_TDP,b_powerPerformance,b_testDate,b_category
Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),Asus,79899,4.25,Intel,Intel Core i7,11800H,11.0,8.0,,,0.0,0,16.0,16,DDR4,1000, SSD,NVIDIA GeForce RTX 3050 Ti,NVIDIA,4.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,9452.0,416.0,,,80.0,118.16,2021.0,Mobile
Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Lenovo,59990,4.35,Intel,Intel Core i5,12450H,12.0,8.0,4.0,4.0,0.0,0,12.0,16,DDR5,512, SSD,NVIDIA GeForce RTX 2050,NVIDIA,4.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,8007.0,380.0,,,,,2022.0,Unknown
Apple MacBook Air 2024 Laptop (Apple M3/ 8GB/ 256GB SSD/ MacOS),Apple,114900,4.25,Apple,Apple M3,,,8.0,4.0,4.0,0.0,0,,8,,256, SSD,Apple 8 Core GPU,Apple,,False,13.6,2560,1664,224.51,False,Mac OS,,,,,,,,
Dell Inspiron 3525 Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11),Dell,36940,4.1,AMD,AMD Ryzen 5,5500U,5.0,6.0,,,0.0,0,12.0,8,DDR4,512, SSD,AMD Radeon Radeon Graphics,AMD,,False,15.6,1920,1080,141.21,False,Windows 11 OS,,,,,,,,
Asus TUF F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,53890,4.7,Intel,Intel Core i5,11400H,11.0,6.0,,,0.0,0,12.0,8,DDR4,512, SSD,NVIDIA GeForce RTX 2050,NVIDIA,4.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,8007.0,380.0,,,,,2022.0,Unknown
Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),Lenovo,33500,4.2,AMD,AMD Ryzen 3,7330U,7.0,4.0,,,0.0,0,8.0,8,DDR4,512, SSD,AMD Radeon AMD,AMD,,False,15.6,1920,1080,141.21,False,Windows 11 OS,,,,,,,,
Gigabyte G5 MF-G2IN313SH Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),Gigabyte,69990,4.55,Intel,Intel Core i7,12650H,12.0,10.0,6.0,4.0,0.0,0,16.0,16,DDR4,512, SSD,NVIDIA GeForce RTX 4050,NVIDIA,6.0,False,15.0,1920,1080,146.86,False,Windows 11 OS,12718.0,911.0,,,,,2022.0,Unknown
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),Asus,46890,4.55,AMD,AMD Ryzen 5,5600H,5.0,6.0,,,0.0,0,12.0,8,DDR4,512, SSD,AMD Radeon Vega 7,AMD,,False,16.0,1920,1200,141.51,False,Windows 11 OS,1669.0,442.0,,,,,2019.0,Unknown
Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),Apple,99900,4.15,Apple,Apple M2,,,8.0,4.0,4.0,0.0,0,,8,DDR4,256, SSD,8-Core GPU,Apple,,False,13.6,2560,1664,224.51,False,Mac OS,,,,,,,,
Samsung Galaxy Book 4 NP750XGK-KS2IN Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),Samsung,75990,4.45,Intel,Intel Core 5,120U,,10.0,2.0,8.0,0.0,0,12.0,16,LPDDR4X,512, SSD,Intel Graphics,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,,,,,,,,
HP 14s-dq5138tu Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,38990,4.75,Intel,Intel Core i3,1215U,12.0,6.0,2.0,4.0,0.0,0,8.0,8,DDR4,512, SSD,Intel Integrated UHD,Intel,,True,14.0,1920,1080,157.35,False,Windows 11 OS,1582.0,267.0,,,,,2018.0,Unknown
Samsung Galaxy Book 4 Ultra Laptop (Intel Core Ultra 7 155H/ 32 GB RAM/ 1 TB SSD/ 6 GB Graphics),Samsung,299999,4.15,Intel,Intel Core Ultra,155H,,16.0,6.0,8.0,2.0,1,22.0,32,LPDDR5X,1000, SSD,NVIDIA GeForce RTX 4050,NVIDIA,6.0,False,16.0,2880,1800,212.26,True,Windows 11 OS,12718.0,911.0,,,,,2022.0,Unknown
Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Asus,39800,4.1,Intel,Intel Core i3,1220P,12.0,10.0,2.0,8.0,0.0,0,12.0,8,DDR4,512, SSD,Intel UHD Graphics,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,1582.0,267.0,,,,,2018.0,Unknown
Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),Lenovo,44990,4.4,AMD,AMD Ryzen 7,7730U,7.0,8.0,,,0.0,0,16.0,8,DDR4,512, SSD,AMD Radeon AMD,AMD,,False,15.6,1920,1080,141.21,False,Windows 11 OS,,,,,,,,
Acer Predator Helios Neo 16 PHN16-71 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Acer,112490,4.55,Intel,Intel Core i7,13700HX,13.0,16.0,8.0,8.0,0.0,0,24.0,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4050,NVIDIA,6.0,False,16.0,1920,1200,141.51,False,Windows 11 OS,12718.0,911.0,,,,,2022.0,Unknown
HP Victus 16-e0352AX Gaming Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,44990,4.45,AMD,AMD Ryzen 5,5600H,5.0,6.0,,,0.0,0,12.0,8,DDR4,512, SSD,NVIDIA GeForce GTX 1650,NVIDIA,4.0,False,16.1,1920,1080,136.83,False,Windows 11 OS,7807.0,592.0,209.0,37.35,75.0,104.09,2019.0,Desktop
HP Victus 15-fa1099TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),HP,61990,4.25,Intel,Intel Core i5,12450H,12.0,8.0,4.0,4.0,0.0,0,12.0,16,DDR4,512, SSD,NVIDIA GeForce RTX 2050,NVIDIA,4.0,False,16.1,1920,1080,136.83,False,Windows 11 OS,8007.0,380.0,,,,,2022.0,Unknown
Dell 15 G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Dell,81990,4.05,Intel,Intel Core i5,13450HX,13.0,10.0,6.0,4.0,0.0,0,16.0,16,DDR5,1000, SSD,NVIDIA GeForce RTX 3050,NVIDIA,6.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,12718.0,911.0,,,,,2022.0,Unknown
Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Asus,94990,4.55,AMD,AMD Ryzen 9,6900HS​,6.0,8.0,,,0.0,0,16.0,16,LPDDR5,512, SSD,‎NVIDIA GeForce RTX 3050,NVIDIA,4.0,False,13.4,1920,1200,168.97,True,Windows 11 OS,12718.0,911.0,,,,,2022.0,Unknown
Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),Asus,102499,4.25,Intel,Intel Core i7,12700H,12.0,14.0,6.0,8.0,0.0,0,20.0,16,DDR4,512, SSD,NVIDIA GeForce RTX 4060,NVIDIA,8.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,16958.0,951.0,329.0,51.55,170.0,99.76,2021.0,Desktop
Dell Inspiron 5420 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Dell,69999,4.4,Intel,Intel Core i5,1240P,12.0,12.0,4.0,8.0,0.0,0,16.0,16,DDR5,512, SSD,Intel Integrated UHD,Intel,,True,14.0,1920,1080,157.35,False,Windows 11 OS,1582.0,267.0,,,,,2018.0,Unknown
Lenovo IdeaPad Slim 5 ‎16IMH9 83DC0042IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),Lenovo,75990,4.05,Intel,Intel Core Ultra,125H,,14.0,4.0,8.0,2.0,1,18.0,16,LPDDR5,1000, SSD,Intel Arc Graphics,Intel,,False,16.0,1920,1200,141.51,False,Windows 11 OS,,,,,,,,
Zebronics Pro Series Y ZEB-NBC 2S Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),Zebronics,27990,4.55,Intel,Intel Core i5,1155G7,11.0,4.0,,,0.0,0,8.0,16,LPDDR4X,512, SSD,Intel Integrated UHD,Intel,,True,15.6,1920,1080,141.21,False,Windows 11 OS,1582.0,267.0,,,,,2018.0,Unknown
MSI Sword 15 A12VF-401IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),MSI,94990,4.7,Intel,Intel Core i7,12650H,12.0,10.0,6.0,4.0,0.0,0,16.0,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4060,NVIDIA,8.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,16958.0,951.0,329.0,51.55,170.0,99.76,2021.0,Desktop
Asus ROG Flow X13 GV301RC-LJ073WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),Asus,99990,4.55,AMD,AMD Ryzen 9,6900HS​,6.0,8.0,,,0.0,0,16.0,16,LPDDR5,1000, SSD,‎NVIDIA GeForce RTX 3050,NVIDIA,4.0,False,13.4,1920,1200,168.97,True,Windows 11 OS,12718.0,911.0,,,,,2022.0,Unknown
Asus TUF Gaming F15 FX506HC-HN362WS Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,61990,4.35,Intel,Intel Core i5,11400H,11.0,6.0,,,0.0,0,12.0,16,DDR4,512, SSD,NVIDIA GeForce RTX 3050,NVIDIA,4.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,12718.0,911.0,,,,,2022.0,Unknown
Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),Asus,55200,4.5,AMD,AMD Ryzen 7,5800H,5.0,8.0,,,0.0,0,16.0,16,DDR4,512, SSD,AMD Radeon Vega 7,AMD,,False,16.0,1920,1200,141.51,False,Windows 11 OS,1669.0,442.0,,,,,2019.0,Unknown
Samsung Galaxy Book2 Pro 360 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Samsung,72990,4.3,Intel,Intel Core i5,1240P,12.0,12.0,4.0,8.0,0.0,0,16.0,16,LPDDR5,512, SSD,Intel Iris Xe Graphics,Intel,,False,13.3,1080,1920,165.63,True,Windows 11 OS,2782.0,338.0,,,,,2020.0,Unknown
HP Envy x360 14-fc0105TU Laptop (Intel Core Ultra 5 125U/ 16GB/ 512GB SSD/ Win11),HP,96999,4.6,Intel,Intel Core Ultra,125U,,12.0,2.0,8.0,2.0,1,14.0,16,LPDDR5,512, SSD,Integrated Intel Graphics,Intel,,True,14.0,1920,1200,161.73,True,Windows 11 OS,,,,,,,,
HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),HP,138990,4.2,Intel,Intel Core i7,14700HX,14.0,20.0,8.0,12.0,0.0,0,28.0,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4060,NVIDIA,8.0,False,16.1,1920,1080,136.83,False,Windows 11 OS,16958.0,951.0,329.0,51.55,170.0,99.76,2021.0,Desktop
Dell G15-5530 15 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Dell,99990,4.55,Intel,Intel Core i7,13650HX,13.0,14.0,6.0,8.0,0.0,0,,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4050,NVIDIA,6.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,12718.0,911.0,,,,,2022.0,Unknown
Lenovo Yoga Slim 6 14IAP8 82WU0095IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,64990,4.1,Intel,Intel Core i5,1240P,12.0,12.0,4.0,8.0,0.0,0,16.0,16,LPDDR5,512, SSD,Intel Integrated Iris Xe,Intel,,True,14.0,2240,1400,188.68,False,Windows 11 OS,2782.0,338.0,,,,,2020.0,Unknown
Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Lenovo,32990,4.7,Intel,Intel Core i3,1215U,12.0,6.0,2.0,4.0,0.0,0,8.0,8,DDR4,512, SSD,‎Intel UHD Graphics,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,1582.0,267.0,,,,,2018.0,Unknown
HP 15s-fq5329TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),HP,47990,4.6,Intel,Intel Core i5,1235U,12.0,10.0,2.0,8.0,0.0,0,12.0,8,DDR4,512, SSD,Intel Integrated Iris Xe,Intel,,True,15.6,1920,1080,141.21,False,Windows 11 OS,2782.0,338.0,,,,,2020.0,Unknown
Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,53990,4.55,Intel,Intel Core i5,12450H,12.0,8.0,4.0,4.0,0.0,0,12.0,16,DDR4,512, SSD,NVIDIA GeForce RTX 2050,NVIDIA,4.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,8007.0,380.0,,,,,2022.0,Unknown
Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),Infinix,74990,4.05,Intel,Intel Core i9,13900H,13.0,14.0,6.0,8.0,0.0,0,20.0,32,LPDDR5X,1000, SSD,Intel Integrated Iris Xe,Intel,,True,15.6,1920,1080,141.21,False,Windows 11 OS,2782.0,338.0,,,,,2020.0,Unknown
Asus Vivobook 16X 2023 K3605ZU-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),Asus,86990,4.0,Intel,Intel Core i7,12650H,12.0,10.0,6.0,4.0,0.0,0,16.0,16,DDR4,512, SSD,NVIDIA Geforce RTX 4050,NVIDIA,6.0,False,16.0,1920,1200,141.51,False,Windows 11 OS,12718.0,911.0,,,,,2022.0,Unknown
HP 255 G9 840T7PA Laptop (AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS),HP,19979,4.25,AMD,AMD Athlon,3050U,3.0,2.0,,,0.0,0,2.0,4,DDR4,256, SSD,AMD Integrated,AMD,,True,15.6,1366,768,100.45,False,DOS OS,,,,,,,,
MSI Modern 14 C7M-062IN Laptop (Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11),MSI,37990,4.55,AMD,AMD Ryzen 5,7530U,7.0,6.0,,,0.0,0,12.0,16,DDR4,512, SSD,AMD Radeon AMD,AMD,,False,14.0,1920,1080,157.35,False,Windows 11 OS,,,,,,,,
Dell Vostro 3520 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Dell,48990,4.2,Intel,Intel Core i5,1235U,12.0,10.0,2.0,8.0,0.0,0,12.0,8,DDR4,512, SSD,Intel Iris Xe Graphics,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,2782.0,338.0,,,,,2020.0,Unknown
Asus Vivobook 15 Touch X515EA-EZ311WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Asus,31990,4.35,Intel,Intel Core i3,1115G4,11.0,2.0,,,0.0,0,4.0,8,DDR4,512, SSD,Intel Integrated UHD Graphics,Intel,,True,15.6,1920,1080,141.21,True,Windows 11 OS,1582.0,267.0,,,,,2018.0,Unknown
Lenovo IdeaPad Slim 3 83EQ0044IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,55390,4.35,Intel,Intel Core i5,12450H,12.0,8.0,4.0,4.0,0.0,0,12.0,16,LPDDR5,512, SSD,Intel Integrated UHD Graphics,Intel,,True,14.0,1920,1080,157.35,False,Windows 11 OS,1582.0,267.0,,,,,2018.0,Unknown
HP Envy x360 14-fa0052AU Laptop (AMD Ryzen 7 8840HS/ 16GB/ 512GB SSD/ Win11),HP,96990,4.35,AMD,AMD Ryzen 7,8840HS,8.0,8.0,,,0.0,0,16.0,16,LPDDR5,512, SSD,AMD Radeon Graphics,AMD,,False,14.0,1920,1200,161.73,True,Windows 11 OS,,,,,,,,
HP 15s-fq5327TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,37490,4.4,Intel,Intel Core i3,1215U,12.0,6.0,2.0,4.0,0.0,0,8.0,8,DDR4,512, SSD,Intel UHD Graphics,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,1582.0,267.0,,,,,2018.0,Unknown
Asus Vivobook S15 OLED S5504VA-MA951WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11),Asus,109990,4.45,Intel,Intel Core i9,13900H,13.0,14.0,6.0,8.0,0.0,0,20.0,16,LPDDR5,1000, SSD,Intel Iris Xe Graphics,Intel,,False,15.6,2880,1620,211.82,False,Windows 11 OS,2782.0,338.0,,,,,2020.0,Unknown
Honor MagicBook X16 2024 ‎Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Honor,46990,4.1,Intel,Intel Core i5,12450H,12.0,8.0,4.0,4.0,0.0,0,12.0,16,LPDDR4X,512, SSD,Intel UHD Graphics,Intel,,False,16.0,1920,1200,141.51,False,Windows 11 OS,1582.0,267.0,,,,,2018.0,Unknown
Lenovo ThinkBook 15 G5 21JF002PIN Laptop (AMD Ryzen 5 7530U/ 8GB/ 512 GB SSD/ Win11),Lenovo,39990,4.05,AMD,AMD Ryzen 5,7530U,7.0,6.0,,,0.0,0,12.0,8,DDR4,512, SSD,AMD Radeon AMD,AMD,,False,15.6,1920,1080,141.21,False,Windows 11 OS,,,,,,,,
HP Victus 15-fa1128TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),HP,65990,4.55,Intel,Intel Core i5,13420H,13.0,8.0,4.0,4.0,0.0,0,12.0,16,DDR4,512, SSD,NVIDIA GeForce RTX 2050,NVIDIA,4.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,8007.0,380.0,,,,,2022.0,Unknown
Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop (12th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),Zebronics,27990,4.4,Intel,Intel Core i3,1215U,12.0,6.0,2.0,4.0,0.0,0,8.0,8,DDR4,512, SSD,Intel Integrated,Intel,,True,15.6,1920,1080,141.21,False,Windows 11 OS,,,,,,,,
